neighborhood,price,bedrooms,parking,area,bathrooms
Mata da Praia,3000026.5,5,3,500,5
Vitória,890850.0,3,2,108,4
Praia do Canto,595016.6666666666,3,2,110,2
Vitória,460413.3333333333,3,1,100,2
Praia do Canto,730400.0833333334,3,2,90,2
Maruípe,949070.5,8,3,240,7
Enseada do Suá,1900011.8333333333,4,3,400,5
Jardim da Penha,610521.6666666666,2,2,72,2
Jardim Camburi,850405.8333333334,4,2,176,3
Vitória,2101000.0,4,4,243,5
Vitória,549400.0,3,2,120,3
Barro Vermelho,850572.0833333334,3,2,105,2
de Lourdes,490000.0,3,1,180,2
Santa Lucia,650719.0,2,1,69,2
Jardim da Penha,690000.0,3,2,84,3
Praia do Canto,450380.0,2,1,70,1
Jardim da Penha,450483.6666666667,3,1,93,3
Jardim da Penha,775000.0,2,,68,2
Vitória,880230.8333333334,4,2,170,5
Vitória,550700.0,3,2,90,3
Vitória,375000.0,4,1,130,3
Praia do Canto,1800800.0,4,2,180,3
Jardim Camburi,490600.0,3,1,120,3
Praia do Canto,835908.3333333334,3,2,120,3
Jardim da Penha,320450.0,2,,70,1
Centro,140289.25,1,,50,1
Vitória,1350950.0,4,3,136,3
Vitória,465400.0,2,1,68,2
Vitória,1651747.5,4,3,270,5
Jardim Camburi,1400005.0,4,2,130,3
Vitória,2002000.0,4,2,220,1
Jardim Camburi,280375.0,2,1,55,1
Praia do Canto,475410.0,2,1,70,2
Barro Vermelho,3653091.6666666665,4,4,334,7
Barro Vermelho,1240630.0,4,2,150,3
Jardim da Penha,890685.3333333334,4,4,140,3
Jabour,950000.0,4,4,417,3
Jardim da Penha,690650.0,4,2,120,2
Santa Luíza,350529.25,2,1,70,2
Jardim Camburi,165301.16666666666,2,1,45,1
Fradinhos,1595010.5833333333,4,2,300,4
Vitória,890610.0,3,2,107,3
Vitória,499945.5833333333,3,1,118,3
Vitória,180293.33333333334,2,1,60,1
Vitória,951101.6666666666,2,1,66,2
Vitória,850620.0,3,2,115,2
Vitória,540403.4166666666,2,1,75,2
Jardim da Penha,225152.58333333334,2,1,60,1
Santa Helena,1580165.0,4,2,220,5
Bento Ferreira,950605.5,3,3,107,3
Vitória,530451.6666666666,3,2,90,3
Barro Vermelho,3200950.0,4,4,250,7
Jardim Camburi,315565.0,3,1,80,3
Praia do Canto,683434.1666666666,3,1,105,3
Vitória,1901100.0,4,3,162,5
Vitória,320360.0,3,1,78,1
Jardim Camburi,980490.0,3,2,180,4
Vitória,900675.0,3,2,145,3
Vitória,420460.0,3,1,100,2
Jardim da Penha,450451.6666666667,3,1,90,3
Barro Vermelho,380436.0,3,1,100,2
Jardim da Penha,750450.0,4,1,130,3
Jardim Camburi,320320.0,2,1,58,2
Jardim Camburi,180305.0,2,1,60,1
Jardim Camburi,500400.0,3,2,82,2
Santa Lucia,620650.0,3,1,124,3
Mata da Praia,1900000.0,4,4,413,4
Vitória,1251141.6666666667,4,2,144,3
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
